Modul	Kommando	Undermeny	Kortkommando	Annat kortkommando	FAW	FÖR	200	500	1000	2000
Utbetalningar	Markera tom betaldatum		T							
Utbetalningar	Skicka betalfil		S							
Utbetalningar	Betala manuellt		M							
Utbetalningar	Markera sändningar		HS							
Utbetalningar	Skriv ut banklista (ska flyttas till utskrifter)									
Utbetalningar	Skriv ut avier (ska flyttas till utskrifter)									
Utbetalningar	Ändra betaldatum mm		B							
Utbetalningar	Betala utan faktura		A							
										
Utbetalningar arkiv	Markera sändningar		HS							
Utbetalningar arkiv	Avmarkera alla		HV							
Utbetalningar arkiv	Flyttad till utskrift och där heter den Banklista									
										
Verifikationer	Stryk rad		S							
Verifikationer	Periodisera		Z							
Verifikationer	Koppla underlag		O							
Verifikationer	Utför periodiseringar		T							
Verifikationer	Importera		I							
Verifikationer	Kontrollera underlag		D							
Verifikationer	Stryk alla rader		A							
										
Momskontroll	Gör om momskontroll		O							
										
Avstämning	Gör om avstämningen		O							
										
Periodiseringar	Inga kommandon									
										
Ingående balans	Överför utgående balans		B							
Ingående balans	Importera IB från Sie		I							
										
Budgetnycklar	Inga kommandon									
										
Resultatbudget	Kopiera		O							
Resultatbudget	Beräkna		B							
Resultatbudget	Summera		S							
										
Resultatprognos	Kopiera		O							
Resultatprognos	Beräkna		B							
Resultatprognos	Summera		S							
										
Balansbudget	Kopiera		O							
Balansbudget	Beräkna		B							
Balansbudget	Summera		S							
										
Balansprognos	Kopiera		O							
Balansprognos	Beräkna		B							
Balansprognos	Summera		S							
										
Gamla journaler	Inga kommandon									
										
Kontoplan	Koppla konton		O							
Kontoplan	Koppla kontogrupper		T							
Kontoplan	Massuppdatera		HU							
Kontoplan	Markeringshjälp		HM							
Kontoplan	Markera alla		HA							
Kontoplan	Avmarkera alla		HV							
										
Konteringsmallar	Infoga rad		I							
										
Projekt	Beräkna		B							
Projekt	Kopiera till prognos		O							
Projekt	Uppdatera månadsfördelning		M							
										
Gamla journaler	Exportera bokföringsunderlag (FAW)		E							
